Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1001,Monument Valley 2,All,2017,Puzzle,Ustwo Games  ,Ustwo Games  ,,,,,,,
1002,FIFA Soccer 2004,PS2,2003,Sports,EA Sports  ,EA Canada  ,8.0,,0.59,2.36,0.04,0.51,3.49
1003,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2006,Role-Playing,Nintendo  ,ChunSoft  ,6.3,,1.15,0.05,0.83,,2.03
1004,Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,1.94,0.94,,0.61,3.49
1005,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts  ,EA Digital Illusions CE  ,9.0,9.3,2.11,1.01,0.04,0.33,3.48
1006,Darksiders,All,2010,Action-Adventure,THQ  ,Vigil Games  ,,,,,,,
1007,Borderlands,X360,2009,Shooter,2K Games  ,Gearbox Software  ,8.3,,2.43,0.72,0.03,0.3,3.48
1008,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo  ,Nintendo EAD  ,6.6,,0.71,1.1,1.45,0.15,3.41
1009,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega  ,Sega  ,7.6,,1.21,1.63,0.27,0.37,3.47
1010,Dying Light,PC,2016,Action,Warner Bros. Interactive Entertainment  ,Techland  ,,,0.16,0.06,,0.02,0.24
1011,Guitar Hero: On Tour,DS,2008,Misc,Activision  ,Vicarious Visions  ,7.1,8.1,2.1,1.01,0.01,0.35,3.46
1012,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari  ,Dimps Corporation  ,,,2.17,0.28,0.55,0.08,3.09
1013,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment  ,Insomniac Games  ,8.7,,2.14,1.21,0.01,0.17,3.52
1014,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Studios  ,343 Industries  ,,,2.06,1.04,0.03,0.31,3.44
1015,Star Ocean,Series,1996,Role-Playing,Enix  ,tri-Ace  ,,,,,,,
1016,LEGO Batman: The Videogame,X360,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.5,,2.07,1.04,,0.34,3.44
1017,Tekken 4,PS2,2002,Fighting,Namco  ,Namco  ,7.9,,1.55,1.27,0.33,0.29,3.44
1018,FIFA 14,PS4,2013,Sports,EA Sports  ,EA Canada  ,,,0.62,2.18,0.12,0.51,3.43
1019,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.1,,1.83,1.07,0.06,0.47,3.43
