Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
40001,Mr. Bumblebee Racing Champion,WW,2010,Racing,H2F Informationssysteme GmbH  ,H2F Informationssysteme GmbH  ,,,,,,,
40002,Mr. Chin's Gourmet Paradise,GB,1990,Action,Romstar  ,Romstar  ,,,,,,,
40003,Mr. Do!,GB,1992,Action,Nintendo  ,Ocean  ,,,,,,,
40004,Mr. Do!,SNES,1996,Action,Black Pearl  ,Imagineer  ,,,,,,,
40005,Mr. Do! (Arcade),VC,2010,Puzzle,Hamster Corporation  ,Universal  ,,,,,,,
40006,Mr. Do!'s Castle,5200,1984,Action,Parker Bros.  ,Parker Bros  ,,,,,,,
40007,Mr. Driller,DC,2000,Puzzle,Namco  ,Namco  ,7.6,,,,,,
40008,Mr. Driller,WS,2001,Puzzle,Namco  ,Namco  ,,,,,,,
40009,Mr. Driller,GB,2000,Puzzle,Namco  ,Namco  ,,,,,,,
40010,Mr. Driller,PC,2001,Action,Midas Interactive Entertainment  ,Namco  ,,,,,,,
40011,Mr. Driller 2,PC,2002,Puzzle,Namco  ,Namco  ,,,,,,,
40012,Mr. Driller Ace,GBA,2002,Puzzle,Namco  ,Namco  ,,,,,,,
40013,Mr. Driller G,PS,2001,Puzzle,Namco  ,Namco  ,,,,,,,
40014,Mr. Driller Online,XBL,2008,Puzzle,Namco Bandai  ,Namco Bandai Games  ,,,,,,,
40015,Mr. Driller W,WW,2009,Puzzle,Namco Bandai  ,Bandai Namco Games  ,,,,,,,
40016,Mr. Driller: Drill Land,GC,2002,Puzzle,Namco  ,Namco  ,,,,,,,
40017,Mr. Driller: Drill Till You Drop,DSiW,2010,Puzzle,Namco Bandai  ,Bandai Namco Games  ,6.5,,,,,,
40018,Mr. Gimmick,NES,1993,Platform,Sunsoft  ,Authentic Entertainment  ,,,,,,,
40019,Mr. Go no Baken Tekichuu Sube,GB,1994,Simulation,Taito  ,Taito Corporation  ,,,,,,,
40020,Mr. Hat & the Magic Cube,PSN,2011,Misc,Unknown  ,Bravo Games  ,,,,,,,
40021,Mr. Heli no Daibouken,PCE,1989,Shooter,Irem Software Engineering  ,Irem Software Engineering  ,,,,,,,
40022,Mr. Heli no Daibouken,VC,2008,Shooter,Irem Software Engineering  ,Irem Software Engineering  ,,,,,,,
40023,Mr. Ink Jet,PSV,N/A,Action,Unknown  ,AQ Interactive  ,,,,,,,
40024,Mr. Nutz,GB,1994,Platform,Ocean  ,Ocean  ,,,,,,,
40025,Mr. Nutz,SNES,1994,Platform,Ocean  ,Ocean  ,,,,,,,
40026,Mr. Nutz,GEN,1994,Platform,Ocean  ,Ocean  ,,,,,,,
40027,Mr. Nutz,GBC,1999,Platform,Infogrames  ,Planet Interactive  ,,,,,,,
40028,Mr. Nutz,GBA,2003,Misc,Atari  ,Unknown  ,,,,,,,
40029,Mr. Nutz (GBC),GB,1999,Platform,Infogrames  ,Planet Interactive  ,,,,,,,
40030,Mr. Physics,DS,2009,Misc,CDV Software Entertainment  ,Mastertronic  ,,,,,,,
40031,Mr. Physics,PC,2008,Misc,CDV Software Entertainment  ,Mastertronic  ,,,,,,,
40032,Mr. Postman,2600,1983,Action,Bit Corporation  ,Bit Corporation  ,,,,,,,
40033,Mr. Robot,PC,2007,Platform,Moonpod  ,Moonpod  ,,,,,,,
40034,Mr. T,PC,N/A,Action,Unknown  ,ZootFly  ,,,,,,,
40035,Mr. T,PS3,N/A,Action,Unknown  ,ZootFly  ,,,,,,,
40036,Mr. T,X360,N/A,Action,Unknown  ,ZootFly  ,,,,,,,
40037,Mr. T,Wii,N/A,Action,Unknown  ,ZootFly  ,,,,,,,
40038,Mr. Trivia,GIZ,N/A,Misc,Unknown  ,Iron Square  ,,,,,,,
40039,Ms. 'Splosion Man,XBL,2011,Platform,Twisted Pixel Games  ,Twisted Pixel Games  ,8.4,,,,,,
40040,Ms. 'Splosion Man,PC,2013,Platform,Microsoft Studios  ,Twisted Pixel Games  ,,,,,,,
40041,Ms. 'Splosion Man,WinP,2013,Platform,Microsoft Studios  ,Twisted Pixel Games  ,,,,,,,
40042,Ms. Germinator,PSV,2014,Misc,Creat Studios  ,Unknown  ,,,,,,,
40043,Ms. Germinator,PS3,2014,Misc,Creat Studios  ,Unknown  ,,,,,,,
40044,Ms. Pac Man,GEN,1991,Puzzle,Tengen  ,Midway/Namco  ,,,,,,,
40045,Ms. Pac-Man,GB,1993,Puzzle,Namco  ,Namco  ,,,,,,,
40046,Ms. Pac-Man,GG,1995,Puzzle,Majesco  ,General Computer Corporation  ,,,,,,,
