Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
10001,All Star Pro-Wrestling,PS2,2000,Fighting,Square  ,SquareSoft  ,,,,,0.2,,0.2
10002,Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,Atari  ,Bec  ,,,0.19,,,0.02,0.2
10003,Dark Messiah of Might and Magic Elements,X360,2008,Role-Playing,Ubisoft  ,Arkane Studios / Floodgate Entertainment / Kuju Entertainment  ,5.0,,0.16,0.02,0.01,0.02,0.2
10004,Wizards of Waverly Place: Spellbound,DS,2010,Misc,Disney Interactive Studios  ,Sarbakan Inc.  ,,,0.16,0.03,,0.01,0.2
10005,Shaun White Skateboarding,PS3,2010,Sports,Ubisoft  ,Ubisoft Montreal  ,6.6,,0.12,0.05,,0.03,0.2
10006,WRC: FIA World Rally Championship,PS3,N/A,Racing,Unknown  ,Milestone S.r.l  ,,,0.0,0.14,0.01,0.04,0.2
10007,Harvest Moon: More Friends of Mineral Town,GBA,2005,Simulation,Natsume  ,TOSE Software  ,8.0,,0.14,0.05,,0.0,0.2
10008,Infinite Space,DS,2010,Role-Playing,Sega  ,PlatinumGames / Nude Maker  ,7.2,,0.06,0.05,0.07,0.01,0.2
10009,The Fairly Odd Parents: Shadow Showdown,GC,2004,Platform,THQ  ,Blitz Games  ,,,0.16,0.04,,0.01,0.2
10010,Planet 51,Wii,2009,Action,Sega  ,Pyro Studios  ,,,0.17,0.02,,0.02,0.2
10011,DanceMasters,X360,2010,Misc,Konami  ,GCP1  ,6.2,,0.15,0.02,0.02,0.01,0.2
10012,Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,SAT,1996,Shooter,Bandai  ,Bec  ,,,,,0.2,,0.2
10013,Black Panther 2: Yakuza Ashura Chapter,PSP,2012,Adventure,Sega  ,Sega  ,,,,,0.2,,0.2
10014,Just Dance: Greatest Hits,Wii,2012,Music,Ubisoft  ,Ubisoft Paris  ,,,0.14,0.04,,0.02,0.2
10015,DarkStar One: Broken Alliance,X360,2010,Simulation,Kalypso  ,Gaming Minds Studios  ,6.4,,0.11,0.07,,0.02,0.2
10016,NBA 2K2,XB,2002,Sports,Sega  ,Visual Concepts  ,,,0.15,0.04,,0.01,0.2
10017,X2: Wolverine's Revenge,GBA,2003,Platform,Activision  ,Vicarious Visions  ,7.7,,0.14,0.05,,0.0,0.2
10018,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Platform,Activision  ,WayForward Technologies  ,,,0.11,0.07,,0.02,0.2
10019,7th Dragon 2020,PSP,2011,Role-Playing,Sega  ,imageepoch Inc.  ,,,,,0.2,,0.2
10020,Cars,XB,2006,Racing,THQ  ,Rainbow Studios  ,,,0.15,0.04,,0.01,0.2
10021,Dragon Ball: Revenge of King Piccolo,Wii,2009,Action,Namco Bandai  ,Bandai Namco Games  ,6.1,8.0,0.12,0.03,0.03,0.02,0.2
10022,Taiko no Tatsujin: Waku Waku Anime Matsuri,PS2,2003,Misc,Namco  ,Namco  ,,,,,0.2,,0.2
10023,Spy Hunter,GC,2002,Racing,Midway Games  ,Point of View  ,7.9,,0.16,0.04,,0.01,0.2
10024,Dead to Rights II,PS2,2005,Shooter,Namco  ,WideScreen Games  ,,,0.1,0.08,,0.03,0.2
10025,Super Dodge Ball Advance,GBA,2001,Sports,Atlus  ,Atlus Co.  ,,,0.14,0.05,,0.0,0.2
10026,Ogre Battle Saga Episode Five: The March of the Black Queen,PS,1997,Role-Playing,Atlus  ,Quest Corporation  ,7.6,,0.06,0.04,0.09,0.01,0.2
10027,Apache: Air Assault,PS3,2010,Simulation,Activision  ,Gaijin Entertainment  ,,,0.11,0.06,,0.02,0.2
10028,"Ni Hao, Kai-lan: New Year's Celebration",DS,2009,Misc,2K Play  ,Black Lantern Studios  ,,,0.19,0.0,,0.01,0.2
10029,MLB 12: The Show,PSV,2012,Sports,Sony Computer Entertainment America  ,SCE San Diego Studio  ,,,0.17,,,0.03,0.2
10030,Body and Brain Connection,X360,2011,Misc,Namco Bandai  ,Namco Bandai Games  ,6.0,,0.1,0.08,,0.02,0.2
10031,HardCube,PC,N/A,Platform,Unknown  ,LEVER Software  ,,,,,,,
10032,MDK,PS,1998,Shooter,Playmates  ,Shiny Entertainment  ,,,0.11,0.08,,0.01,0.2
10033,Russian Horror Story,PC,N/A,Visual Novel,Unknown  ,Footmade  ,,,,,,,
10034,Monster Jam,X360,2007,Racing,Activision  ,Torus Games  ,,,0.18,0.0,,0.02,0.2
10035,Rock Band Track Pack: Classic Rock,PS2,2009,Misc,MTV Games  ,Harmonix Music Systems  ,,,0.1,0.08,,0.03,0.2
10036,Ty the Tasmanian Tiger 2: Bush Rescue,GC,2004,Platform,Electronic Arts  ,Krome Studios  ,7.4,,0.15,0.04,,0.01,0.2
10037,Sniper: Ghost Warrior 2,X360,2013,Shooter,City Interactive  ,City Interactive  ,,,0.06,0.12,0.0,0.01,0.2
10038,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Wii,2009,Adventure,Activision  ,Gunnar Games  ,,,0.11,0.07,,0.02,0.2
10039,Speed Punks,PS,2000,Racing,Sony Computer Entertainment  ,Fucom  ,,,0.11,0.08,,0.01,0.2
10040,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,Namco Bandai Games  ,Banpresto  ,,,,,0.2,,0.2
10041,Cabela's Survival: Shadows of Katmai,Wii,2011,Sports,Activision  ,Activision  ,,,0.14,0.04,,0.01,0.2
10042,The Legend of Heroes: Ao no Kiseki,PSP,2011,Role-Playing,Falcom Corporation  ,Nihon Falcom Corporation  ,,,,,0.2,,0.2
10043,Clive Barker's Jericho,PS3,2007,Shooter,Codemasters  ,Mercury Steam / Alchemic Productions  ,5.8,,0.17,0.01,,0.02,0.2
10044,Warriors Orochi,PSP,2008,Action,KOEI  ,Omega Force / Koei Canada  ,6.4,,0.02,0.0,0.18,0.0,0.2
10045,MVP Baseball 2003,XB,2003,Sports,EA Sports  ,EA Sports  ,,,0.15,0.04,,0.01,0.2
10046,Earth Defense Force: Insect Armageddon,PS3,2011,Shooter,D3 Publisher  ,Vicious Cycle  ,6.6,,0.06,0.04,0.08,0.02,0.2
10047,NCAA Final Four 2004,PS2,2003,Sports,Sony Computer Entertainment  ,989 Sports  ,,,0.1,0.08,,0.03,0.2
10048,NBA 07,PSP,2006,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,6.9,,0.18,,,0.02,0.2
10049,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,2005,Adventure,Buena Vista  ,Traveller's Tales  ,,,0.15,0.04,,0.01,0.2
10050,Age of Wonders,PC,1999,Strategy,Gathering of Developers  ,Triumph Studios  ,8.4,,,,,,
10051,Agony,PC,2018,Action,PlayWay  ,Madmind Studio  ,,,,,,,
10052,Atlantis II,All,1999,Adventure,DreamCatcher Interactive  ,Cryo Interactive  ,,,,,,,
10053,Azur Lane: Crosswave,All,2020,Shooter,Idea Factory International  ,Felistella  ,,,,,,,
10054,Battlefield 2: Euro Force,PC,2006,Shooter,Electronic Arts  ,Digital Illusions  ,,,,,,,
10055,Battlezone,PC,1998,Strategy,Activision  ,Activision  ,,,,,,,
10056,Blue Reflection,Series,2017,Role-Playing,Koei Tecmo  ,Gust  ,,,,,,,
10057,Body Harvest,N64,1998,Shooter,Midway Games  ,DMA Design  ,,,0.16,0.04,,0.0,0.2
10058,Carrion,All,2020,Action,Devolver Digital  ,Phobia Game Studio  ,,,,,,,
10059,ClayFighter,All,1993,Fighting,Interplay Productions  ,Visual Concepts  ,,,,,,,
10060,Digimon World DS,DS,2006,Role-Playing,Namco Bandai  ,Namco Bandai Games America  ,,,0.09,,,0.01,0.1
10061,Disgaea 5 Complete,NS,2017,Role-Playing,NIS America  ,Nippon Ichi Software  ,9.0,,0.15,0.11,0.05,0.02,0.34
10062,Disney's Tarzan,N64,2000,Platform,Activision  ,Eurocom Entertainment Software  ,,,0.16,0.04,,0.0,0.2
10063,Disruptor,PS,1996,Shooter,Universal Interactive  ,Insomniac Games  ,,,0.07,0.05,,0.01,0.13
10064,Dracula: Resurrection,All,2000,Adventure,DreamCatcher Interactive  ,Index+  ,,,,,,,
10065,Famista 64,N64,N/A,Sports,Unknown  ,Namco  ,,,,,0.17,0.03,0.2
10066,Fate/Extella: The Umbral Star,All,2017,Action,Xseed Games  ,Marvelous  ,,,,,,,
10067,Fez,XBL,2012,Platform,Polytron  ,Polytron  ,,,,,,,
10068,Front Mission 5: Scars of the War,PS2,2005,Strategy,Square Enix  ,Square Enix  ,,,,,0.21,,0.21
10069,Global Defence Force,PS2,2007,Shooter,Essential Games  ,Sandlot  ,,,,,0.17,,0.17
10070,Gothic,PC,2001,Role-Playing,Xicat Interactive  ,Piranha Bytes  ,8.1,,,,,,
10071,Gothic II,PC,2003,Role-Playing,Atari  ,Piranha Bytes  ,8.0,,,0.0,,0.0,0.0
10072,J-League Pro Soccer Club o Tsukurou! 7 Euro Plus,PSP,2011,Sports,Sega  ,Sega  ,,,,,0.21,,0.21
10073,Kamen Rider: Battride War,PS3,2013,Action,Namco Bandai Games  ,Eighting  ,,,,,0.19,,0.19
10074,Magical Tetris Challenge,N64,1998,Puzzle,Capcom  ,Capcom  ,,,0.13,0.02,0.05,0.0,0.2
10075,Metro Exodus,PC,2019,Shooter,Deep Silver  ,4a-games  ,,,,,,,
10076,Nobunaga no Yabo: Tendo,All,2009,Strategy,Koei Tecmo  ,Koei Tecmo Games  ,,,,,,,
10077,Outpost,All,1994,Simulation,Sierra Online   ,Sierra On-Line  ,,,,,,,
10078,Pac-Man Pinball Advance,GBA,2005,Misc,Namco  ,Human Soft  ,,,0.08,0.03,,0.0,0.11
10079,Phantasy Star Universe,PS2,2006,Role-Playing,Sega  ,Sonic Team  ,6.4,,,,0.19,,0.19
10080,Photo Kano,Series,2012,Simulation,Kadokawa Games  ,Dingo  ,,,,,,,
10081,Rise of Nightmares,X360,2011,Action,Sega  ,Sega  ,5.5,,0.28,0.13,0.01,0.04,0.47
10082,Roadsters 99,N64,1999,Racing,Titus  ,Unknown  ,6.4,,0.06,0.13,,0.01,0.2
10083,Romancing SaGa 2,All,1993,Role-Playing,Square  ,Square  ,,,,,,,
10084,San Francisco Rush 2049,N64,2000,Racing,Midway Games  ,Midway Games  ,,,0.16,0.04,,0.0,0.2
10085,Snowboard Kids,N64,1997,Sports,Atlus  ,Racdym  ,8.0,,0.16,0.04,,0.0,0.2
10086,South Park Rally,N64,2000,Racing,Acclaim Entertainment  ,Tantalus Interactive  ,4.2,,0.16,0.04,,0.0,0.2
10087,Super Robot Taisen 64,N64,1999,Strategy,Banpresto  ,Banpresto  ,,,,,0.2,0.0,0.2
10088,Tigger's Honey Hunt,N64,2000,Platform,NewKidCo  ,Rivage Games  ,7.3,,0.16,0.04,,0.0,0.2
10089,Toukiden Kiwami,All,2015,Role-Playing,Koei Tecmo  ,Omega Force  ,,,,,,,
10090,Twisted Edge Extreme Snowboarding,N64,1998,Sports,Midway Games  ,Boss Game Studios  ,,,0.16,0.04,,0.0,0.2
10091,Worms,XBL,2007,Strategy,Microsoft  ,Team17 Software  ,,,,0.02,,0.0,0.02
10092,Worms 2,PC,1997,Strategy,Microprose  ,Team17 Software  ,,,,0.01,,0.0,0.01
10093,Worms Armageddon,PS,1999,Strategy,Microprose  ,Team17 Software  ,,,0.18,0.81,,0.08,1.06
10094,Worms: Open Warfare,All,2006,Strategy,THQ  ,Team17  ,,,,,,,
10095,IHRA Drag Racing 2004,XB,2003,Racing,Bethesda Softworks  ,Bethesda Softworks  ,,,0.15,0.04,,0.01,0.2
10096,Treasure World,DS,2009,Simulation,Aspyr  ,Aspyr  ,,,0.18,,,0.02,0.2
10097,Alien Breed: Impact,PC,2010,Shooter,Team17 Software  ,Team17 Software  ,,,,,,,
10098,Shining Hearts,PSP,2010,Role-Playing,Sega  ,Sega  ,,,,,0.2,,0.2
10099,SingStar: Back to the 80s,PS3,2011,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,,,0.16,,0.04,0.2
